source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Kelly Loeffler,,2020-03-05 20:00:11,I’m cosponsoring the resolution to censure Senator Schumer because words matter. His reprehensible rhetoric against two sitting SCOTUS justices was a low point in our political discourse and an affront to our values as a country.     I applaud Chief Justice Roberts for condemning Senator Schumer’s remarks; this behavior cannot go unchecked and this resolution will show that this level of hyper-partisan rhetoric will not be tolerated. It’s time for the Senate to hold him accountable.,297,255,7,35,,,,51,146482516832142,/story.php?story_fbid=146482516832142&id=110061623807565
Kelly Loeffler,,2020-03-05 18:26:33,In case you missed it: Nikki Haley is joining me for a grassroots rally in Cobb County on Monday! Get your free ticket here!,57,40,6,11,,,,7,146480653498995,/story.php?story_fbid=146480653498995&id=110061623807565
Kelly Loeffler,,2020-03-05 16:01:17,"From the family farm to the board room, I’ve always carried my faith in God and conservative values with me. As the newest member of the United States Senate, I’m proud to put those values into action by sponsoring legislation to protect life, standing up for religious freedom, and fighting for pro-job, pro-growth policies.  I’m thankful to have the endorsement of the Family Policy Alliance – one of Georgia’s top advocacy groups – and I look forward to working with them as we continue to deliver results for Georgia families.",92,81,3,8,,,,25,146449930168734,/story.php?story_fbid=146449930168734&id=110061623807565
Kelly Loeffler,,2020-03-05 12:12:53,Senator Schumer's comments were disgusting and shameful. No amount of political spin can change that. We heard what he said. We know what he meant. And we’re going to hold him accountable at the ballot box in Georgia and around the country in November.,236,214,12,9,1,,,50,146391486841245,/story.php?story_fbid=146391486841245&id=110061623807565
Kelly Loeffler,,2020-03-05 10:55:17,Georgia Life Alliance is exactly right. There’s no reason the Women’s Right to Know Act shouldn’t receive bipartisan support.,95,77,6,11,,,1,32,146370000176727,/story.php?story_fbid=146370000176727&id=110061623807565
Kelly Loeffler,,2020-03-05 07:55:36,“Kelly Loeffler knows what it means to be a leader and to work hard for the people she represents.” - Nikki Haley,153,121,6,26,,,,13,146331516847242,/story.php?story_fbid=146331516847242&id=110061623807565
Kelly Loeffler,,2020-03-04 18:44:45,So proud to have Nikki Haley's endorsement. I hope you’ll join us in Cobb County on Monday for a grassroots rally! Get your free ticket here.,334,277,6,50,1,,,26,146164006863993,/story.php?story_fbid=146164006863993&id=110061623807565
Kelly Loeffler,,2020-03-04 17:46:15,,151,126,4,20,1,,,27,188128702627735,/events/188128702627735?view=permalink&id=188129392627666
Kelly Loeffler,,2020-03-04 17:32:58,"I’m honored to have Nikki Haley's support & look forward to welcoming her to Georgia on Monday for a rally on the way toward a big win in November! Working together, we will protect the American Dream and end the socialist nightmare at the ballot box!",328,260,7,59,,1,1,45,146151473531913,/story.php?story_fbid=146151473531913&id=110061623807565
Kelly Loeffler,,2020-03-04 14:12:49,"No matter who the Democrat nominee is, they will have to answer for the socialist agenda their party is peddling. We will stop them in Georgia in November!",263,216,15,31,1,,,54,146093070204420,/story.php?story_fbid=146093070204420&id=110061623807565
Kelly Loeffler,,2020-03-04 11:22:21,"I’m working closely with President Trump, Senator Perdue, and Governor Kemp's teams to keep Georgians safe from Coronavirus. Under the President’s leadership, we are partnering to keep Americans fully informed.",112,94,9,9,,,,30,146077133539347,/story.php?story_fbid=146077133539347&id=110061623807565
Kelly Loeffler,,2020-03-04 08:00:01,Georgia should not be at risk in 2020. I won’t let it be at risk.  I’m focused on delivering results and lifting up Georgians as we work toward a big win in November!,169,137,12,19,,,1,39,145882350225492,/story.php?story_fbid=145882350225492&id=110061623807565
Kelly Loeffler,,2020-03-03 20:00:19,"Yesterday, I qualified to run for the United States Senate. I am honored to have the confidence of so many Georgians across our great state. The momentum for our campaign and outpouring of support has been tremendous - and it continues to grow every day. I know that some will continue to launch false attacks and play political games. But I want Georgians to know that I’m sticking to a positive, uplifting vision for our future - and remain focused on delivering results on the issues that matter most. We are bringing everyone together – from every corner of our state – to protect the American Dream from the left’s socialist nightmare. We are running to win, and we will do whatever it takes to earn a big victory in November!",314,253,7,53,,,1,34,145882806892113,/story.php?story_fbid=145882806892113&id=110061623807565
Kelly Loeffler,,2020-03-03 14:00:00,"Fiscal responsibility matters in farming and it matters in business--But it hasn’t mattered to career politicians in Washington for years. Bernie’s socialist agenda for America would make every fiscal problem in Washington worse, hurting those it claims to help and risking everything that makes America great in the process.",74,49,12,,1,3,9,38,145864910227236,/story.php?story_fbid=145864910227236&id=110061623807565
Kelly Loeffler,,2020-03-03 12:00:00,"Recently, I was proud to attend the Georgia Greater Black Chamber of Commerce’s annual dinner celebrating African American entrepreneurs & business owners. Small and minority-owned businesses play an integral role in growing Georgia’s economy and creating jobs for families.",145,109,12,24,,,,25,145831676897226,/story.php?story_fbid=145831676897226&id=110061623807565
Kelly Loeffler,,2020-03-03 09:00:00,"Very saddened to see the devastation in Nashville. I’m praying for the victims, their families and friends, and for the entire city.",76,54,,1,,21,,8,145792930234434,/story.php?story_fbid=145792930234434&id=110061623807565
Kelly Loeffler,,2020-03-02 19:30:59,"I grew up on a farm and spent my career in business. I’ve lived the American Dream and today, it was an honor to qualify for my U.S. Senate seat!",410,347,7,55,,1,,48,145597870253940,/story.php?story_fbid=145597870253940&id=110061623807565
Kelly Loeffler,,2020-03-02 14:59:58,"I’m a political outsider, but I have a long track record of delivering results. Our positive campaign is about people - not politics - and we are building momentum across the entire state! https://www.mdjonline.com/opinion/editorial-senate-race-tightens-as-loeffler-gains-momentum/article_8752bb25-a0dd-5e68-b75e-5d5483b8a9d4.html",268,231,15,22,,,,40,145567136923680,/story.php?story_fbid=145567136923680&id=110061623807565
Kelly Loeffler,,2020-03-02 10:04:50,"It’s official! I just qualified to run for office for the first time. I’m running to support President Trump’s agenda, stop the left’s push for socialism, and deliver results for Georgia and all of America!",409,347,12,49,,,1,65,145499050263822,/story.php?story_fbid=145499050263822&id=110061623807565
Kelly Loeffler,,2020-03-02 08:09:09,"Today, I’m qualifying to run for U.S. Senate. I’m an outsider to politics, but I’m no stranger to results. And I’m running for Senate to win and to fight for all of Georgia.",176,146,7,22,,,1,41,145465610267166,/story.php?story_fbid=145465610267166&id=110061623807565
Kelly Loeffler,,2020-03-01 13:30:43,"For my entire career, I’ve been in the private sector. I was born and raised on a farm, worked my way up through business, and have lived the American Dream.  And I’ve seen the struggle between freedom and socialism in America. I'm working to support President Trump’s agenda, stop the left’s push towards socialism, and deliver results for all of Georgia.",243,204,11,28,,,,38,145276413619419,/story.php?story_fbid=145276413619419&id=110061623807565
Kelly Loeffler,,2020-02-29 14:00:00,Hurricane Michael ripped through Georgia and severely damaged our agriculture community.  We haven’t forgotten. Farmers & forest landowners will get much-needed relief through this $347 million grant! Find out if you’re eligible at farmrecovery.com.,59,55,2,2,,,,18,144655877014806,/story.php?story_fbid=144655877014806&id=110061623807565
Kelly Loeffler,,2020-02-29 10:02:51,"I’m proud to be a cosponsor of Senator Roger Wicker's resolution honoring Hiram Revels, the first African American U.S. Senator. His legacy of service endures around the country.",109,97,1,10,1,,,16,144911306989263,/story.php?story_fbid=144911306989263&id=110061623807565
Kelly Loeffler,,2020-02-28 14:19:18,Democrats have dangerously and intentionally misled the American people on Coronavirus readiness.  Here’s the truth: President Donald J. Trump and his administration are doing a great job working to keep Americans healthy and safe.,211,170,19,5,2,9,6,65,144621180351609,/story.php?story_fbid=144621180351609&id=110061623807565
Kelly Loeffler,,2020-02-28 08:08:45,"Having worked for years in the private sector as a CEO and job creator, I’ve seen firsthand how a robust economy can bolster folks from the ground up. A stable and growing business climate provides people with the opportunity to pull themselves up by their bootstraps and create a better life for themselves and for their families. At the end of the day, that’s why I came to Washington. I’m here to help families across Georgia build better lives for themselves and stronger futures for their children. I know the value of a hard day’s work, and I’m proud to bring the experience and priorities of a strong business leader to Congress. I will keep working hard for each and every American, because when the economy thrives, we thrive.",177,162,7,7,,,1,26,144512357029158,/story.php?story_fbid=144512357029158&id=110061623807565
Kelly Loeffler,,2020-02-27 19:00:13,"I grew up on a family farm and learned the value of faith, community, and hard work at an early age. FFA does a great job teaching those same lessons and preparing future farmers and agribusiness leaders for success. Wishing a happy #FFAWeek to all members past and present! #TBT",232,198,6,27,,,1,28,144313787049015,/story.php?story_fbid=144313787049015&id=110061623807565
Kelly Loeffler,,2020-02-27 11:27:51,I came to the U.S. Senate as a political outsider to represent all of Georgia and to work with President Trump to continue building on our country’s blue-collar economic boom!,147,120,9,18,,,,33,144237977056596,/story.php?story_fbid=144237977056596&id=110061623807565
Kelly Loeffler,,2020-02-27 08:54:25,"This Appeals Court ruling is a step in the right direction and it shows why confirming judges who believe in the rule of law is so important.  In the Senate, I'm working with Marsha Blackburn and others to hold liberal politicians accountable for impeding immigration laws.",180,145,1,31,,,3,24,144200203727040,/story.php?story_fbid=144200203727040&id=110061623807565
Kelly Loeffler,,2020-02-26 13:30:37,"It’s an honor to receive an endorsement from Maggie's List! As a political outsider and conservative businesswoman, I am working tirelessly to deliver results on the issues that matter most to Georgians. From building on our economic success to increasing access to affordable healthcare and smartly investing in our infrastructure, I am fighting for Georgia every day in the U.S. Senate. I look forward to working with Maggie’s List and others as we continue to create more opportunities for families to live out their version of the American Dream.",79,63,4,12,,,,17,143996940414033,/story.php?story_fbid=143996940414033&id=110061623807565
Kelly Loeffler,,2020-02-26 11:10:00,"From the family farm, to a career in business, and now the U.S. Senate, I’ve lived the American Dream and I’ll never stop fighting to preserve it for Georgia and all of America.",82,70,5,5,,,2,19,143993550414372,/story.php?story_fbid=143993550414372&id=110061623807565
Kelly Loeffler,,2020-02-26 09:52:05,Happy birthday Bub! Here’s to the world’s best brother!! ♥️🐶🇺🇸🚜,465,398,4,63,,,,54,143954123751648,/story.php?story_fbid=143954123751648&id=110061623807565
Kelly Loeffler,,2020-02-26 08:17:52,I believe in the American Dream. I know that Bernie Sanders’ radical ideas are dangerous and socialism threatens everything that makes our country great.,263,231,7,24,,,1,34,143931080420619,/story.php?story_fbid=143931080420619&id=110061623807565
Kelly Loeffler,,2020-02-25 19:32:31,"Washington Democrats are coming at Georgia with everything they have in November, and I intend to stop them.",236,167,38,15,7,1,8,46,143790747101319,/story.php?story_fbid=143790747101319&id=110061623807565
Kelly Loeffler,,2020-02-25 16:44:08,"I grew up in an era when the American Dream was alive and well – when a farm girl from a rural town could go from waiting tables, to running a successful business, to representing Georgia’s conservative values on the floor of the U.S. Senate.  Over the years, I’ve watched radical socialists chip away at the American Dream – bargaining away individual freedoms for big government and trading free markets for fewer choices. I left the business world and came to Washington as a political outsider to protect the heart of our nation, the wellbeing of our families, and freedoms for future generations. I'm fighting every day to defend the American Dream and end the socialist nightmare. Watch our new ad here:",107,90,10,7,,,,27,143764520437275,/story.php?story_fbid=143764520437275&id=110061623807565
Kelly Loeffler,,2020-02-25 14:19:47,"Today, I am proudly voting to support the Pain-Capable Unborn Child Act and the Born-Alive Survivors Protection Act. These two common-sense bills affirm the sanctity of innocent human life.",320,257,6,56,,,1,45,143734423773618,/story.php?story_fbid=143734423773618&id=110061623807565
Kelly Loeffler,,2020-02-25 11:11:46,ICYMI - I’m proud to be the first & only candidate in this race to sign Americans for Tax Reform’s pledge to never vote to increase taxes on American families.,274,230,10,32,1,1,,39,143691713777889,/story.php?story_fbid=143691713777889&id=110061623807565
Kelly Loeffler,,2020-02-25 08:17:56,The socialist agenda peddled by Bernie Sanders and the Democrat Party risks everything that makes America great.  Watch our new ad here.,154,126,16,11,,,1,38,143651070448620,/story.php?story_fbid=143651070448620&id=110061623807565
Kelly Loeffler,,2020-02-24 20:34:15,"Katherine Johnson was a true American hero who broke racial and social barriers, all while working tirelessly to put us on the moon. I’m saddened to hear about her passing, but I know her legacy will inspire future generations for years to come.",126,95,,7,2,22,,11,143494500464277,/story.php?story_fbid=143494500464277&id=110061623807565
Kelly Loeffler,,2020-02-24 17:00:00,"As a political outsider and conservative businesswoman, I’m honored to have the endorsement of so many longtime leaders from across the nation and around our state. In my first month in office, I’ve worked hard to fight back against the Left’s socialist agenda, shake up the status quo in Washington, and deliver results for Georgia. I will keep working hard for Georgia families so that they can live their version of the American Dream. I’m excited about the momentum our campaign is building, and I’m proud to have the support of so many strong leaders as we work toward a big win in November!",271,229,8,32,,1,1,26,143481873798873,/story.php?story_fbid=143481873798873&id=110061623807565
Kelly Loeffler,,2020-02-24 13:33:04,Great stopping by Tommy’s Barber Shop and spending some time with Tommy!,206,189,5,12,,,,20,143411143805946,/story.php?story_fbid=143411143805946&id=110061623807565
Kelly Loeffler,,2020-02-24 10:52:46,We must not allow Bernie Sanders - or any of the other extreme Democrats - to bring their socialist agenda to the White House and U.S. Senate.,191,133,15,4,2,2,35,50,143370090476718,/story.php?story_fbid=143370090476718&id=110061623807565
Kelly Loeffler,,2020-02-24 07:46:44,"Congratulations, Lt. Washington, for making history as the first African American pilot for the 165th Airlift Wing in Savannah!",255,217,1,36,1,,,21,143318987148495,/story.php?story_fbid=143318987148495&id=110061623807565
Kelly Loeffler,,2020-02-23 19:03:43,We just launched our new campaign website! Head here to learn more about where I stand on the issues & how to sign up for updates and join the team.,270,236,7,27,,,,22,143171620496565,/story.php?story_fbid=143171620496565&id=110061623807565
Kelly Loeffler,,2020-02-23 12:27:58,It’s a wonderful day because it’s my husband’s birthday! Many blessings and Happy Birthday Jeff!,565,506,,59,,,,120,143077827172611,/story.php?story_fbid=143077827172611&id=110061623807565
Kelly Loeffler,,2020-02-22 14:00:06,We should reduce the size & scope of government & Georgians should keep more money in their own pockets. I’m proud to sign Americans For Tax Reform’s pledge to reject all tax increases.  https://kellyforsenate.com/sen-kelly-loeffler-recognized-as-first-candidate-to-sign-atf-pledge-only-candidate-to-reject-tax-increases/,127,107,10,10,,,,34,142734943873566,/story.php?story_fbid=142734943873566&id=110061623807565
Kelly Loeffler,,2020-02-22 12:29:25,Big turnout from our supporters at Georgia Republican Party mass precinct meetings around the state today! We are building momentum every day thanks to our strong grassroots support!,210,177,8,25,,,,11,142765317203862,/story.php?story_fbid=142765317203862&id=110061623807565
Kelly Loeffler,,2020-02-22 10:00:00,It was great to spend some time with conservative businessman Herman Cain yesterday!,507,454,6,47,,,,31,142995153847545,/story.php?story_fbid=142995153847545&id=110061623807565
Kelly Loeffler,,2020-02-21 15:00:25,"We’re traveling around the state, hearing from Georgians about the issues that matter most to them & building momentum for our campaign! And guess what? We're just getting started!",144,126,9,9,,,,28,142489867231407,/story.php?story_fbid=142489867231407&id=110061623807565
Kelly Loeffler,,2020-02-21 11:34:35,"As an outsider, I’m listening to Georgians from every part of our state, not special interests in Washington. Great conversations yesterday at Swift & Finch in Rome!",166,147,4,15,,,,35,142436070570120,/story.php?story_fbid=142436070570120&id=110061623807565
Kelly Loeffler,,2020-02-21 09:17:55,"Earlier this week, I spoke with WRBL News 3 about visiting Columbus and traveling the entire state this week.  I may be an outsider to politics, but I’m no stranger to delivering results.",86,73,9,4,,,,18,142403477240046,/story.php?story_fbid=142403477240046&id=110061623807565
Kelly Loeffler,,2020-02-20 20:00:47,"I am proud to be the first and only candidate who has signed a pledge to reject all tax increases. As a political outsider and conservative businesswoman, I believe we should reduce the size and scope of government and Georgians should keep more money in their own pockets. In the Senate, I will always stand firm against reckless spending and regulations that cripple growth. I will bring back common-sense fiscal responsibility that puts taxpayers – not big government - first.",212,182,12,17,1,,,43,142184983928562,/story.php?story_fbid=142184983928562&id=110061623807565
Kelly Loeffler,,2020-02-20 18:31:50,"Yesterday I visited Fort Benning, Pratt and Whitney, and the National Infantry Museum to discuss our shared priorities: protecting America, supporting Georgia’s proud military tradition, and expanding economic opportunities.",211,196,4,11,,,,25,142204540593273,/story.php?story_fbid=142204540593273&id=110061623807565
Kelly Loeffler,,2020-02-20 13:33:28,"Beautiful story about the power of redemption & second chances. Thank you, President Donald J. Trump, for keeping your promises. And thank you, Dr. Alveda King, for all you do to help those in need.",250,199,4,46,,,1,25,142144837265910,/story.php?story_fbid=142144837265910&id=110061623807565
Kelly Loeffler,,2020-02-20 11:00:00,Great crowd to start the day at Doug’s Place in Emerson! Thanks to Emerson Mayor Al Pallone and Bartow County Sheriff Clark Millsap for stopping by!,185,162,2,20,,,1,12,142190433928017,/story.php?story_fbid=142190433928017&id=110061623807565
Kelly Loeffler,,2020-02-20 08:17:30,Serving our veterans on the VA Committee is an honor - and a  job I take very seriously. I’m committed to working with officials at every level to ensure our veterans have access to the care they need.,69,59,8,2,,,,15,142058160607911,/story.php?story_fbid=142058160607911&id=110061623807565
Kelly Loeffler,,2020-02-19 21:07:03,"Agriculture - Georgia’s oldest and largest industry - has a $73 billion impact annually and employs more than 400,000 people. I grew up on our family farm, working in the fields alongside my family.  It was on the farm that I learned the importance of faith, family, and hard work from a very early age. It was on the farm that I first learned lessons about business that would guide the rest of my life.  Grateful for leaders like state Rep. davebelton112 for ensuring agriculture continues to thrive in Georgia, and appreciate his kind words in this op-ed!",126,111,4,11,,,,15,141914763955584,/story.php?story_fbid=141914763955584&id=110061623807565
Kelly Loeffler,,2020-02-19 15:35:32,"The Battle of Iwo Jima began 75 years ago today. May we never forget the Greatest Generation’s heroism, sacrifice, and service in defense of freedom here and around the world.",169,139,1,28,1,,,29,141835567296837,/story.php?story_fbid=141835567296837&id=110061623807565
Kelly Loeffler,,2020-02-19 11:05:16,"I pledged to Georgians that I would deliver real results in the U.S. Senate. Over the last month, that’s exactly what I’ve done, and it’s exactly what I’m going to continue to do.",187,156,7,23,,,1,28,141758543971206,/story.php?story_fbid=141758543971206&id=110061623807565
Kelly Loeffler,,2020-02-19 08:09:10,Stanton Springs Business Park is a model for regional economic development. It’s creating jobs that are lifting all Americans up! Enjoyed touring their facility on Monday with Jody Hice.,116,101,5,8,,1,1,16,141712353975825,/story.php?story_fbid=141712353975825&id=110061623807565
Kelly Loeffler,,2020-02-18 19:07:44,Proud to join Marsha Blackburn and others on this plan to hold liberal politicians responsible for issuing drivers’ licenses to illegal immigrants or impeding federal immigration law. Sanctuary states disregard the law and endanger American lives. I’m standing up to stop them.,176,151,10,10,,,5,26,141544170659310,/story.php?story_fbid=141544170659310&id=110061623807565
Kelly Loeffler,,2020-02-18 15:10:15,I’ll never stop fighting to help Georgia farmers and agribusiness succeed. Georgia depends on them and so does America.  This especially matters given Mike Bloomberg's insulting and out-of-touch comments about our state’s oldest and largest industry.,183,165,7,11,,,,30,141505067329887,/story.php?story_fbid=141505067329887&id=110061623807565
Kelly Loeffler,,2020-02-18 11:07:58,"My first birthday gift to Jeff was tickets to NASCAR. It’s a sport that brings people together & creates memories that last a lifetime. It can also be a high risk profession. Thankfully, Ryan Newman’s injuries are not life threatening. We will keep him in our prayers.",189,162,3,24,,,,17,141437617336632,/story.php?story_fbid=141437617336632&id=110061623807565
Kelly Loeffler,,2020-02-18 08:00:00,"Had a wonderful time yesterday traveling across Georgia & visiting with friends old and new. Thank you to Governor Brian Kemp, First Lady of Georgia Marty Kemp, and Rep. Jody Hice. I appreciate everything you do for our state and country!",198,167,4,27,,,,11,141430804003980,/story.php?story_fbid=141430804003980&id=110061623807565
Kelly Loeffler,,2020-02-17 22:51:46,After traveling from Greensboro to Madison to Monroe - and hearing from Georgians about the issues that matter most - we wrapped up today with Jody Hice at Bonner’s BBQ!,146,124,4,16,1,1,,26,141280130685714,/story.php?story_fbid=141280130685714&id=110061623807565
Kelly Loeffler,,2020-02-17 16:20:59,"Happy Presidents' Day, President Donald J. Trump! Proud to work with you to deliver results for Georgia and all of America!",477,394,11,69,,,3,41,141205794026481,/story.php?story_fbid=141205794026481&id=110061623807565
Kelly Loeffler,,2020-02-17 14:36:05,"After one month in office, it's clear that as a Christian and conservative outsider, I will always protect innocent life.",169,140,7,21,,,1,30,141179820695745,/story.php?story_fbid=141179820695745&id=110061623807565
Kelly Loeffler,,2020-02-17 08:10:46,630 new jobs are coming to Georgia because Macy’s continues to invest in our state.  Great momentum for our booming economy!,144,134,1,6,2,1,,18,141089707371423,/story.php?story_fbid=141089707371423&id=110061623807565
Kelly Loeffler,,2020-02-16 20:00:38,"On Thursday, I voted against the Iran War Powers Resolution that restricts the Administration’s ability to protect Americans.  We’re not at war in Iran & deterrence has been reinstated. But we need to send a strong signal to Iran & those who threaten America & our allies, not mixed messages.",232,213,3,9,,,7,37,140843944062666,/story.php?story_fbid=140843944062666&id=110061623807565
Kelly Loeffler,,2020-02-16 10:21:02,"Great to be with the DeKalb GOP yesterday morning. We're fired up to reelect President Trump, take back the House, and keep the Senate majority!",331,282,7,40,,,2,41,140810587399335,/story.php?story_fbid=140810587399335&id=110061623807565
Kelly Loeffler,,2020-02-15 14:15:30,"Honored to share the stage this morning with Dr. Alveda King at the DeKalb County GOP breakfast. Together, we are working to build on our country’s record success under President Trump and deliver results for Georgia families!",382,325,5,51,,,1,34,140563760757351,/story.php?story_fbid=140563760757351&id=110061623807565
Kelly Loeffler,,2020-02-15 09:16:44,"Sending anniversary blessings to my parents today as they celebrate their 51st anniversary. They met in their 20s at a livestock show, continued our family tradition of farming, and taught my brother and me that anything is possible with love, hard work, and humility.  “Be completely humble and gentle; be patient, bearing with one another in love."" -Ephesians 4:2",423,334,,88,1,,,50,140486194098441,/story.php?story_fbid=140486194098441&id=110061623807565
Kelly Loeffler,,2020-02-14 16:39:01,,425,355,5,65,,,,22,140269867453407,/kellyloefflerga/photos/a.110061710474223/140269867453407
Kelly Loeffler,,2020-02-14 13:52:35,Great morning with Governor Brian Kemp and Susan B. Anthony List President Marjorie Dannenfelser touring First Care Women's Clinic in Cobb County. I’m honored to be endorsed by Susan B. Anthony List and will always defend life.,230,210,5,15,,,,24,140227160791011,/story.php?story_fbid=140227160791011&id=110061623807565
Kelly Loeffler,,2020-02-14 10:00:00,"Happy Valentine’s Day to my husband and best friend, Jeff!",600,519,4,76,1,,,45,140225557457838,/story.php?story_fbid=140225557457838&id=110061623807565
Kelly Loeffler,,2020-02-14 07:45:35,"Since coming to the Senate, I’ve co-sponsored four pro-life bills to end taxpayer funding for abortion, roll back the scope of Roe v. Wade, and increase criminal penalties for medical professionals performing illegal abortions.  I’m committed to working with Susan B. Anthony List to protect the most vulnerable among us, and I’m proud to receive their endorsement.",223,187,6,27,,,3,36,140104707469923,/story.php?story_fbid=140104707469923&id=110061623807565
Kelly Loeffler,,2020-02-13 13:39:06,"The U.S. Constitution is not optional, and our Second Amendment rights are not up for debate. That’s why I’ve signed on to three bills to protect our right to “keep and bear arms.”",234,206,4,23,,,1,44,139852934161767,/story.php?story_fbid=139852934161767&id=110061623807565
Kelly Loeffler,,2020-02-13 11:06:58,#TBT to the State of the Union last week! I never imagined that as a farm kid from rural America I would ever have a chance to see this in person. Such a memorable moment!,240,199,11,29,1,,,33,139804290833298,/story.php?story_fbid=139804290833298&id=110061623807565
Kelly Loeffler,,2020-02-13 08:17:05,"I was proud to hold the line on impeachment and defend President Trump, but that’s just the first step toward getting America back to work. We have so much more to do to deliver for Georgia, and that’s exactly why I’ve already hit the ground running. In the coming weeks, I’ll be traveling around the state to hear from hard working Georgians on how we can move our state forward.  From supporting our farmers and veterans, tackling the opioid crisis, enhancing educational outcomes, and protecting families from violence, we have a bold agenda - and it’s time to roll up our sleeves and get to work.",174,150,6,14,1,,3,27,139760194171041,/story.php?story_fbid=139760194171041&id=110061623807565
Kelly Loeffler,,2020-02-12 20:50:45,"Since coming to the U.S. Senate, I’ve signed on to three common-sense bills that protect and expand the freedoms of gun-owners across America.  We must stop the radical Left from trying to undermine public safety and the rights of law-abiding gun owners.",406,336,9,60,,,1,45,139616537518740,/story.php?story_fbid=139616537518740&id=110061623807565
Kelly Loeffler,,2020-02-12 15:00:00,🚨 61% of Americans say they’re better off now than they were before President Trump took office. 🚨 Our agenda is working to lift up all Americans!,214,175,10,28,,1,,26,139601914186869,/story.php?story_fbid=139601914186869&id=110061623807565
Kelly Loeffler,,2020-02-12 11:28:46,"For decades, Speaker Newt Gingrich has championed conservative policies, causes, and candidates. He’s a trailblazer, historic leader, and a bold voice for our Party. Honored by his support.",283,237,15,28,2,1,,30,139485627531831,/story.php?story_fbid=139485627531831&id=110061623807565
Kelly Loeffler,,2020-02-12 08:00:20,President Trump has sent a clear message to Georgia: Your success is America’s success! This week: ✅ Full funding for the Savannah Harbor Expansion Project requested. ✅ $34.6 million grant to realign container berths at the Port.,162,142,4,16,,,,13,139427667537627,/story.php?story_fbid=139427667537627&id=110061623807565
Kelly Loeffler,,2020-02-11 19:16:42,I grew up on a farm. I know firsthand the importance of rural communities and the challenges they face. Agriculture and rural development will continue to be two of my top priorities as your U.S. Senator.,210,180,9,21,,,,23,139254854221575,/story.php?story_fbid=139254854221575&id=110061623807565
Kelly Loeffler,,2020-02-11 16:08:20,I’m honored to earn Newt Gingrich's strong endorsement and look forward to working together as we shake up the status quo in Washington and deliver real results for the American people.,340,284,10,42,2,,2,25,139205474226513,/story.php?story_fbid=139205474226513&id=110061623807565
,,2020-02-10 15:00:55,,,,,,,,,,138899454257115,/ufi/reaction/profile/browser/?ft_ent_identifier=138892817591112&refid=17&_ft_=top_level_post_id.138899454257115%3Atl_objid.138899454257115%3Apage_id.110061623807565%3Aphoto_attachments_list.%5B138898210923906%2C138898237590570%2C138898340923893%2C138898834257177%5D%3Aphoto_id.138898210923906%3Astory_location.4%3Astory_attachment_style.new_album%3Atds_flgs.3%3Apage_insights.%7B%22110061623807565%22%3A%7B%22page_id%22%3A110061623807565%2C%22actor_id%22%3A110061623807565%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1581364855%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B138898210923906%2C138892817591112%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A110061623807565%2C%22page_id%22%3A110061623807565%2C%22post_id%22%3A138898210923906%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A110061623807565%2C%22page_id%22%3A110061623807565%2C%22post_id%22%3A138892817591112%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.110061623807565%3A306061129499414%3A43%3A0%3A1585724399%3A-7087330354579990029&__tn__=%2AW-R#footer_action_list
Kelly Loeffler,,2020-02-11 14:00:00,"I’m excited to see that Rock Eagle chapel’s restoration is coming along. 4-H has had such a positive impact on my life, and I know both this chapel and Rock Eagle will continue to make a difference for future generations. Humbled to play a small role in its reconstruction.",202,177,2,22,1,,,16,139193060894421,/story.php?story_fbid=139193060894421&id=110061623807565
Kelly Loeffler,,2020-02-11 11:30:00,We had a great crowd at our meet and greet in Macon yesterday! Our campaign is building momentum in Middle Georgia and across the entire state!,104,87,4,13,,,,15,139132970900430,/story.php?story_fbid=139132970900430&id=110061623807565
Kelly Loeffler,,2020-02-11 08:58:11,"Speaker Newt Gingrich has fought for conservative policies for years. He has helped shape the Republican Party, not just in Georgia but around the entire country. I’m honored to have his support!",368,317,9,41,1,,,36,139104687569925,/story.php?story_fbid=139104687569925&id=110061623807565
Kelly Loeffler,,2020-02-10 20:28:37,"Georgia ports are the lifeblood of local economies, supporting tens of thousands of jobs around the state and ensuring hometown products have access to global markets. With the inclusion of critical Savannah Harbor Expansion Project funding in President Trump’s 2021 budget, we are one step closer to completing this undertaking that will benefit  Georgia and the entire country. I thank the President, Acting OMB Director Russ Vought, and the Army Corps of Engineers for showing their commitment to keeping SHEP on track and I’m looking forward to continuing my work to get SHEP over the finish line once and for all!",232,211,1,20,,,,16,138962384250822,/story.php?story_fbid=138962384250822&id=110061623807565
